Spec_ID,Код продукту,Назва з номенклатури/специфікації,Категорія,Назва в журналі (остання),К-сть партій у журналі,Перша дата в журналі,Остання дата в журналі,Останній № партії,Органолептика норма/критерій,Колір,Запах,pH мін,pH макс,Останній pH факт,Остання в'язкість факт,Од. вим. в'язкості,"Остання густина факт, г/мл",Колоїдна стабільність,Термостабільність,Мікробіологія норма,Мікробіологія факт,Умови зберігання,Термін придатності,Статус специфікації,Джерело,Примітка,pH специфікація (норма),Густина специфікація,В'язкість специфікація,PAO (після відкриття)
SPEC-RP106-v1.0,RP106,Дезодорант кульковий,Тіло,"Дезодорант кульковий, RP106",3,2024-08-01,2025-03-12,03/25,відповідає,відсутні дані,згідно затвердженого зразку,"3,5",6,4.3,Н/З,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (3 партій),Норми з журналу потрібно затвердити технологом.,3.5–8.5,не нормується,не нормується,12М
SPEC-RP111-v1.0,RP111,Ліпідна маска для волосся,Волосся,"Ліпідна маска для волосся, RP111",7,2025-05-16,2025-12-22,22/12/25(2),однорідна маса без сторонніх домішок,від світло-жовтого до жовтого кольору,згідно затвердженого зразку,"4,5","5,5",4.8,"Cp=47,08pas, 47% S4V6",,"0,87",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (7 партій),Норми з журналу потрібно затвердити технологом.,"4,0-5,0","0,86-0,96 г/мл",S4V6 Cp=30-60 mPas,12М
SPEC-RP113-v1.0,RP113,Бальзам для губ регенеруючий №4,Обличчя,"Бальзам для губ регенеруючий №4, RP113",1,2024-09-26,2024-09-26,26/09/2024,відповідає,від безбарвного до світло-бежевого,згідно затвердженого зразку,,,,Н/З,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Норми з журналу потрібно затвердити технологом.,не нормується,не нормується,не нормується,12М
SPEC-RP117-v1.0,RP117,Натуральне гель-мило,Тіло,натуральний гель-мило RP117,4,2024-09-12,2026-02-11,11/02/26(2),відповідає,"від світло-бежевого до жовтого кольору прозорий гель, допускається незначна опалісценція",згідно затвердженого зразку,"3,5",6,5.2,"S3V60Cp=1116mPas55,7%",,"0,95",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (4 партій),Норми з журналу потрібно затвердити технологом.,3.5–8.5,"0.95 г/мл ± 0,05",,12М
SPEC-RP121-v1.0,RP121,"Крем для рук з пантенолом, центелою та пребіотиком 294-1",Тіло,"Крем для рук з пантенолом, центелою та пребіотиком 294-1, RP121",9,2025-02-05,2026-03-12,12/03/26(1),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5,"S4V1,5Cp=380,5mPas95%",,"0,95",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (9 партій),Норми з журналу потрібно затвердити технологом.,5–6,"0.94 г/мл ± 0,05",,12М
SPEC-RP126-v1.0,RP126,Крем для обличчя з spf 15,Обличчя,Крем для обличчя SPF15 RP126,2,2025-03-25,2026-03-06,06/03/26(2),однорідна маса без сторонніх домішок,кремовий білий,згідно затвердженого зразку,5,6,5.8,"S4V0,6Cp=424,1mPas42,4%",,"0,98",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (2 партій),Норми з журналу потрібно затвердити технологом.,5–6,0.98 г/мл,,12М
SPEC-RP005-v1.0,RP005,Шампунь Argan Oil + Keratin,Волосся,,0,,,,однорідна маса без сторонніх домішок,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP020-v1.0,RP020,Арганова олія для кінчиків волосся,Волосся,арганова олія для кінчиків волосся RP020,2,2025-11-26,2026-02-19,19/02/26(1),однорідна маса без сторонніх домішок,прозорий,згідно затвердженого зразку,,,,,,"0,96",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,потребує верифікації технологом,Номенклатура + журнал партій (2 партій),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,0.89–0.96 г/мл,не нормується,12М
SPEC-RP023-v1.0,RP023,"Баттер для тіла з оліями ши, кокосу, мигдалю та персика",Тіло,"Баттер для тіла з оліями ши, кокосу, мигдалю та персика, RP023",1,2025-12-08,2025-12-08,08/12/25(1),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.9,"Cp=126,3pas, 31,5% S4V1,5",,"0,91",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Автоматично згенеровано. В журналі даних по партіях немає.,5–6,0.91 г/мл,,12М
SPEC-RP026-v1.0,RP026,"Шиммер Body Shimmer Gold, Bronze, Pearl, Pink",Тіло,,0,,,,відповідає,кремовий білий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP027-v1.0,RP027,"Скраб для тіла сольовий, насичений оліями з шиммером",Тіло,"Скраб для тіла сольовий, насичений оліями з шиммером, RP027",1,2025-12-15,2025-12-15,15/12/25(1),Однорідна зерниста маса,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP029-v1.0,RP029,Пінна сіль дла ванни.ю колори і аромати в асс,Ванна/спа,Пінна сіль Веселка S066 RP029,1,2026-02-11,2026-02-11,11/02/26(3),відповідає,кольоровий (згідно SKU),згідно затвердженого зразку,,,,,,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,Н/З
SPEC-RP030-v1.0,RP030,Тверда піна дла ванни.ю колори і віддушки асорт,Інше,,0,,,,відповідає,відсутні дані,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP033-v1.0,RP033,Лосьон для тіла з олією кокосу і авокадо,Тіло,,0,,,,однорідна маса без сторонніх домішок,кремовий білий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP037-v1.0,RP037,"Крем массажний для салонних процедур, лимфодренуючим ефектом",Тіло,,0,,,,однорідна маса без сторонніх домішок,кремовий білий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP038-v1.0,RP038,Натуральний дезодорант,Тіло,,0,,,,відповідає,відсутні дані,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP039-v1.0,RP039,Олія массажна,Тіло,,0,,,,відповідає,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP040-v1.0,RP040,Сироватка для обличчя Niacinamide Serum,Обличчя,Сировитка для обличчя Niacinamide Serum RP040,2,2025-11-28,2026-02-12,12/02/26(4),однорідна маса без сторонніх домішок,відсутні дані,згідно затвердженого зразку,5,6,5,"S3V12Cp=5245mPas52,4%",,"0,96",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (2 партій),Автоматично згенеровано. В журналі даних по партіях немає.,5–6,"0.94 г/мл ± 0,05",,6М
SPEC-RP041-v1.0,RP041,Сироватка для обличчя Vitamin C+Ceramide Serum,Обличчя,,0,,,,однорідна маса без сторонніх домішок,відсутні дані,згідно затвердженого зразку,5,6,5,"S3V12Cp=5245mPas52,4%",,"0,96",стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,6М
SPEC-RP042-v1.0,RP042,Сироватка для обличчя Hyaluronic+Squalane Serum,Обличчя,,0,,,,однорідна маса без сторонніх домішок,відсутні дані,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,6М
SPEC-RP043-v1.0,RP043,Тонік для обличчя Nicanamide Toner,Обличчя,,0,,,,відповідає,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP044-v1.0,RP044,Тонік для обличчя Glycolic AHA Toner,Обличчя,,0,,,,відповідає,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP045-v1.0,RP045,Тонік для обличчя Hyaluronic Toner,Обличчя,,0,,,,відповідає,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP046-v1.0,RP046,Пінка для вмивання чутливої шкіри Face Foam Allantoin+Panthenol,Обличчя,пінка для вмивання чутливої шкіри RP046,1,2026-02-09,2026-02-09,09/02/26(1),відповідає,кремовий білий,згідно затвердженого зразку,5,6,5.7,,,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Автоматично згенеровано. В журналі даних по партіях немає.,5–6,не нормується,не нормується,12М
SPEC-RP047-v1.0,RP047,Пінка для вмивання проблемної шкіри Face Foam Niacinamide+Rosmary,Обличчя,,0,,,,відповідає,кремовий білий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP049-v1.0,RP049,Гідрофільна олія проблемної шкіри Hydropolic Oil Rosemary+Thyme,Тіло,,0,,,,відповідає,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP050-v1.0,RP050,Гідрофільна олія чутливої шкіри (олеогель) Hydropolic Oil,Тіло,,0,,,,відповідає,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP052-v1.0,RP052,Зволожуючий крем для обличчя Aqua Face Cream,Обличчя,,0,,,,однорідна маса без сторонніх домішок,кремовий білий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP053-v1.0,RP053,Відновлюючий крем для обличчя Bacuchiol Face Cream,Обличчя,"Відновлюючий крем для обличчя Bacuchiol Face Cream, RP053",1,2025-11-28,2025-11-28,28/11/25(6),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.3,"Cp=17,59pas, 35,1% S4V12",,"0,9",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Автоматично згенеровано. В журналі даних по партіях немає.,5–6,0.9 г/мл,,12М
SPEC-RP054-v1.0,RP054,"Нічний поживнний крем для обличчяз фітостерилом, олієм мурумуру та камелією Face Cream",Обличчя,,0,,,,однорідна маса без сторонніх домішок,кремовий білий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP055-v1.0,RP055,"Крем Retreat з аміноцерамідами, алантоїном",Обличчя,,0,,,,однорідна маса без сторонніх домішок,кремовий білий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP056-v1.0,RP056,Крем для шкіри навколо очей Bacuchiol Eye Cream,Обличчя,"Крем для шкіри навколо очей Bacuchiol Eye Cream, RP056",1,2025-11-28,2025-11-28,28/11/25(5),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.9,"Cp=42,50pas, 53% S3V1,5",,"0,93",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,"чернетка — 1 партія, мало даних",Номенклатура + журнал партій (1 партій),Автоматично згенеровано. В журналі даних по партіях немає.,5–6,"0,85-0,95","S3V1,5 Cp=25-50 mPas",6М
SPEC-RP058-v1.0,RP058,Пілінг-диски,Обличчя,,0,,,,відповідає,відсутні дані,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP059-v1.0,RP059,Маска для волосся кератин і шовк (біла),Волосся,"Маска для волосся кератин і шовк (біла), RP059",7,2024-09-23,2025-10-27,10/25,однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.6,"Cp=98,63pas, 49,3% S4V3",,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (7 партій),Автоматично згенеровано. В журналі даних по партіях немає.,5–6,не нормується,,12М
SPEC-RP060-v1.0,RP060,Маска для волосся кераміди і шовк (зелена),Волосся,маска для волосся кераміди і шовк RP060,8,2024-08-02,2026-02-18,18/02/26(4),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5,"S4V6Cp=43,36mPas43,3%",,"0,78",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (8 партій),Автоматично згенеровано. В журналі даних по партіях немає.,5–6,"0,8-0,95 г/мл",S4V30 Cp=8000-9000mPas,12М
SPEC-RP064-v1.0,RP064,Кондиціонер для волосся чорний,Волосся,"Кондиціонер для волосся чорний, RP064",9,2024-08-08,2025-12-23,23/12/25(2),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.4,"Cp=216,1pas, 54% S3V0,3",,"0,94",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (9 партій),Автоматично згенеровано. В журналі даних по партіях немає.,5–6,0.94 г/мл,,12М
SPEC-RP066-v1.0,RP066,Шампунь Coconut + Milk,Волосся,,0,,,,однорідна маса без сторонніх домішок,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP067-v1.0,RP067,Кондиціонер Coconut + Milk,Волосся,,0,,,,однорідна маса без сторонніх домішок,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP068-v1.0,RP068,"Гель для душу, бюджетний, 273-1",Тіло,,0,,,,відповідає,прозорий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP069-v1.0,RP069,Гель-крем зволожуючий,Інше,,0,,,,однорідна маса без сторонніх домішок,кремовий білий,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP082-v1.0,RP082,Шампунь твердий евкаліпт 207-3-2,Волосся,"Шампунь твердий евкаліпт 207-3-2, RP082",3,2025-12-11,2025-12-15,15/12/25(2),відповідає,прозорий,згідно затвердженого зразку,7,"10,5",9.3,,,,стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,підтверджено з журналу,Номенклатура + журнал партій (3 партій),Автоматично згенеровано. В журналі даних по партіях немає.,7–10.5,не нормується,не нормується,12М
SPEC-RP091-v1.0,RP091,Розігріваючий гель для тіла cellulite killer,Інше,,0,,,,відповідає,відсутні дані,згідно затвердженого зразку,,,,,,,стабільний,стабільний,Н/З,Н/З,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,чернетка — немає партій у журналі,Номенклатура (дані партій відсутні),Автоматично згенеровано. В журналі даних по партіях немає.,не нормується,не нормується,не нормується,12М
SPEC-RP092-v1.0,RP092,Зимовий крем для рук Crumb 188-3,Тіло,"Зимовий крем для рук Crumb 188-3, RP092",4,2025-11-20,2026-03-17,17/03/26(3),однорідна маса без сторонніх домішок,білий або світло-бежевий,згідно затвердженого зразку,5,6,5.7,"S4V3Cp=97,36mPas48,6%",,"0,98",стабільний,стабільний,не виявлено,не виявлено,"+5…+25 °C, сухе темне місце, щільно закрита тара",24 місяці від дати виготовлення,затверджено,Номенклатура + журнал партій (4 партій),Автоматично згенеровано. В журналі даних по партіях немає.,5–6,"0.96 г/мл ± 0,05",,12М
